filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia75	MEDICATION	950	961	clopidogrel	
casos_clinicos_cardiologia75	MEDICATION	964	992	low molecular weight heparin	
casos_clinicos_cardiologia75	MEDICATION	994	1006	atorvastatin	
casos_clinicos_cardiologia75	MEDICATION	1008	1019	candesartan	
casos_clinicos_cardiologia75	MEDICATION	1024	1034	bisoprolol	
casos_clinicos_cardiologia75	MEDICATION	5232	5242	prednisone	
casos_clinicos_cardiologia75	MEDICATION	5391	5409	methylprednisolone	
casos_clinicos_cardiologia75	MEDICATION	5484	5492	imatinib	
casos_clinicos_cardiologia75	MEDICATION	5612	5620	Imatinib	
casos_clinicos_cardiologia75	MEDICATION	5682	5693	hydroxyurea	
casos_clinicos_cardiologia466	MEDICATION	237	246	metformin	
casos_clinicos_cardiologia466	MEDICATION	261	292	irbersartan/hydrochlorothiazide	
casos_clinicos_cardiologia230	MEDICATION	8717	8729	levosimendan	
casos_clinicos_cardiologia230	MEDICATION	8734	8744	furosemide	
casos_clinicos_cardiologia230	MEDICATION	9648	9658	carvedilol	
casos_clinicos_cardiologia230	MEDICATION	9663	9677	spironolactone	
casos_clinicos_cardiologia230	MEDICATION	9626	9646	sacubitril/valsartan	
casos_clinicos_cardiologia254	MEDICATION	592	612	Ursodeoxycholic acid	
casos_clinicos_cardiologia254	MEDICATION	646	657	bezafibrate	
casos_clinicos_cardiologia254	MEDICATION	690	700	quetiapine	
casos_clinicos_cardiologia254	MEDICATION	732	741	lorazepam	
casos_clinicos_cardiologia254	MEDICATION	4760	4763	NTG	
casos_clinicos_cardiologia136	MEDICATION	520	540	acetylsalicylic acid	
casos_clinicos_cardiologia136	MEDICATION	542	549	digoxin	
casos_clinicos_cardiologia136	MEDICATION	551	561	furosemide	
casos_clinicos_cardiologia136	MEDICATION	563	574	pravastatin	
casos_clinicos_cardiologia98	MEDICATION	853	865	chlorambucil	
casos_clinicos_cardiologia98	MEDICATION	876	885	rituximab	
casos_clinicos_cardiologia98	MEDICATION	1255	1267	pantoprazole	
casos_clinicos_cardiologia98	MEDICATION	10379	10391	Pantoprazole	
casos_clinicos_cardiologia98	MEDICATION	1311	1318	insulin	
casos_clinicos_cardiologia98	MEDICATION	1334	1345	paracetamol	
casos_clinicos_cardiologia98	MEDICATION	10149	10159	Furosemide	
casos_clinicos_cardiologia98	MEDICATION	10216	10226	Bisoprolol	
casos_clinicos_cardiologia98	MEDICATION	10259	10270	Rivaroxaban	
casos_clinicos_cardiologia98	MEDICATION	10300	10314	Spironolactone	
casos_clinicos_cardiologia98	MEDICATION	10347	10355	Ramipril	
casos_clinicos_cardiologia98	MEDICATION	1283	1293	pancreatin	
casos_clinicos_cardiologia98	MEDICATION	9961	9971	Pancreatin	
casos_clinicos_cardiologia98	MEDICATION	10085	10092	novomix	
casos_clinicos_cardiologia33	MEDICATION	719	726	insulin	
casos_clinicos_cardiologia33	MEDICATION	731	741	cefuroxime	
casos_clinicos_cardiologia33	MEDICATION	1307	1317	cefuroxime	
casos_clinicos_cardiologia33	MEDICATION	1775	1785	cefuroxime	
casos_clinicos_cardiologia456	MEDICATION	705	715	bisoprolol	
casos_clinicos_cardiologia456	MEDICATION	725	735	eplerenone	
casos_clinicos_cardiologia456	MEDICATION	743	754	sitagliptin	
casos_clinicos_cardiologia456	MEDICATION	762	773	paracetamol	
casos_clinicos_cardiologia435	MEDICATION	1858	1871	acenocoumarol	
casos_clinicos_cardiologia435	MEDICATION	1896	1908	atorvastatin	
casos_clinicos_cardiologia435	MEDICATION	1931	1941	omeprazole	
casos_clinicos_cardiologia435	MEDICATION	1964	1975	glimepiride	
casos_clinicos_cardiologia435	MEDICATION	1997	2019	metformin/vildagliptin	
casos_clinicos_cardiologia435	MEDICATION	2046	2055	ezetimibe	
casos_clinicos_cardiologia435	MEDICATION	2078	2094	ferrous sulphate	
casos_clinicos_cardiologia435	MEDICATION	2117	2127	ivabradine	
casos_clinicos_cardiologia435	MEDICATION	2149	2159	furosemide	
casos_clinicos_cardiologia435	MEDICATION	2182	2196	spironolactone	
casos_clinicos_cardiologia314	MEDICATION	5765	5769	LMWH	
casos_clinicos_cardiologia314	MEDICATION	6216	6227	rivaroxaban	
casos_clinicos_cardiologia314	MEDICATION	6663	6684	sacubitrilo-valsartan	
casos_clinicos_cardiologia314	MEDICATION	5070	5084	ACE inhibitors	
casos_clinicos_cardiologia314	MEDICATION	6643	6657	ACE inhibitors	
casos_clinicos_cardiologia57	MEDICATION	851	863	azathioprine	
casos_clinicos_cardiologia57	MEDICATION	6712	6724	azathioprine	
casos_clinicos_cardiologia57	MEDICATION	880	890	bisoprolol	
casos_clinicos_cardiologia57	MEDICATION	907	919	lansoprazole	
casos_clinicos_cardiologia57	MEDICATION	921	941	acetylsalicylic acid	
casos_clinicos_cardiologia57	MEDICATION	943	954	clopidogrel	
casos_clinicos_cardiologia57	MEDICATION	959	971	atorvastatin	
casos_clinicos_cardiologia244	MEDICATION	196	206	adrenaline	
casos_clinicos_cardiologia244	MEDICATION	1994	2004	adrenaline	
casos_clinicos_cardiologia244	MEDICATION	871	887	insulin glargine	
casos_clinicos_cardiologia244	MEDICATION	909	918	metformin	
casos_clinicos_cardiologia244	MEDICATION	952	963	sitagliptin	
casos_clinicos_cardiologia244	MEDICATION	996	1007	repaglinide	
casos_clinicos_cardiologia244	MEDICATION	1049	1069	acetylsalicylic acid	
casos_clinicos_cardiologia244	MEDICATION	1154	1166	atorvastatin	
casos_clinicos_cardiologia244	MEDICATION	1194	1205	allopurinol	
casos_clinicos_cardiologia244	MEDICATION	1237	1247	etoricoxib	
casos_clinicos_cardiologia244	MEDICATION	1274	1284	metamizole	
casos_clinicos_cardiologia244	MEDICATION	1293	1304	paracetamol	
casos_clinicos_cardiologia244	MEDICATION	1774	1793	dexchlorpheniramine	
casos_clinicos_cardiologia244	MEDICATION	2270	2284	nitroglycerine	
casos_clinicos_cardiologia244	MEDICATION	7894	7904	dobutamine	
casos_clinicos_cardiologia244	MEDICATION	2437	2450	noradrenaline	
casos_clinicos_cardiologia244	MEDICATION	8052	8065	noradrenaline	
casos_clinicos_cardiologia244	MEDICATION	8444	8454	Polaramine	
casos_clinicos_cardiologia244	MEDICATION	8849	8859	Polaramine	
casos_clinicos_cardiologia244	MEDICATION	9494	9508	Spironolactone	
casos_clinicos_cardiologia244	MEDICATION	9724	9734	furosemide	
casos_clinicos_cardiologia244	MEDICATION	9986	10013	amoxicillin/clavulanic acid	
casos_clinicos_cardiologia244	MEDICATION	2851	2854	DBT	
casos_clinicos_cardiologia244	MEDICATION	2452	2455	NAD	
casos_clinicos_cardiologia244	MEDICATION	2823	2826	NAD	
casos_clinicos_cardiologia244	MEDICATION	2416	2432	dobutamine (DBT)	
casos_clinicos_cardiologia244	MEDICATION	9375	9388	beta-blockers	
casos_clinicos_cardiologia244	MEDICATION	9392	9449	angiotensin-converting enzyme inhibitors (ACE inhibitors)	
casos_clinicos_cardiologia244	MEDICATION	1097	1106	enalapril	
casos_clinicos_cardiologia244	MEDICATION	1798	1808	Actocortin	
casos_clinicos_cardiologia244	MEDICATION	2428	2431	DBT	
casos_clinicos_cardiologia244	MEDICATION	8423	8442	dexchlorpheniramine	
casos_clinicos_cardiologia234	MEDICATION	1384	1396	rosuvastatin	
casos_clinicos_cardiologia234	MEDICATION	1412	1423	clopidogrel	
casos_clinicos_cardiologia234	MEDICATION	1439	1449	omeprazole	
casos_clinicos_cardiologia234	MEDICATION	1465	1474	oxycodone	
casos_clinicos_cardiologia234	MEDICATION	1494	1505	paracetamol	
casos_clinicos_cardiologia234	MEDICATION	2403	2416	noradrenaline	
casos_clinicos_cardiologia234	MEDICATION	3500	3513	noradrenaline	
casos_clinicos_cardiologia234	MEDICATION	1513	1522	lactulose	
casos_clinicos_cardiologia559	MEDICATION	962	985	metformin/empagliflozin	
casos_clinicos_cardiologia559	MEDICATION	1041	1051	bisoprolol	
casos_clinicos_cardiologia559	MEDICATION	1062	1072	furosemide	
casos_clinicos_cardiologia559	MEDICATION	1087	1097	eplerenone	
casos_clinicos_cardiologia559	MEDICATION	2711	2730	iron carboxymaltose	
casos_clinicos_cardiologia559	MEDICATION	2824	2828	iron	
casos_clinicos_cardiologia559	MEDICATION	2924	2928	iron	
casos_clinicos_cardiologia559	MEDICATION	2732	2741	Ferinject	
casos_clinicos_cardiologia559	MEDICATION	3950	3959	Ferinject	
casos_clinicos_cardiologia559	MEDICATION	936	950	insulin Toujeo	
casos_clinicos_cardiologia559	MEDICATION	1005	1025	sacubitril/valsartan	
casos_clinicos_cardiologia559	MEDICATION	3929	3948	iron carboxymaltose	
casos_clinicos_cardiologia381	MEDICATION	820	830	omeprazole	
casos_clinicos_cardiologia381	MEDICATION	846	856	furosemide	
casos_clinicos_cardiologia381	MEDICATION	872	882	bisoprolol	
casos_clinicos_cardiologia381	MEDICATION	899	911	rosuvastatin	
casos_clinicos_cardiologia381	MEDICATION	927	937	tamsulosin	
casos_clinicos_cardiologia381	MEDICATION	954	965	finasteride	
casos_clinicos_cardiologia381	MEDICATION	980	989	lorazepam	
casos_clinicos_cardiologia156	MEDICATION	2377	2388	candesartan	
casos_clinicos_cardiologia156	MEDICATION	2390	2400	bisoprolol	
casos_clinicos_cardiologia156	MEDICATION	2405	2417	benznidazole	
casos_clinicos_cardiologia580	MEDICATION	374	383	labetalol	
casos_clinicos_cardiologia94	MEDICATION	482	491	enalapril	
casos_clinicos_cardiologia94	MEDICATION	509	519	torasemide	
casos_clinicos_cardiologia94	MEDICATION	2183	2193	rifampicin	
casos_clinicos_cardiologia94	MEDICATION	2198	2208	daptomycin	
casos_clinicos_cardiologia247	MEDICATION	703	734	telmisartan/hydrochlorothiazide	
casos_clinicos_cardiologia247	MEDICATION	769	779	furosemide	
casos_clinicos_cardiologia247	MEDICATION	8998	9008	furosemide	
casos_clinicos_cardiologia247	MEDICATION	836	850	spironolactone	
casos_clinicos_cardiologia247	MEDICATION	882	892	amlodipine	
casos_clinicos_cardiologia247	MEDICATION	923	936	acenocoumarol	
casos_clinicos_cardiologia247	MEDICATION	960	971	bicarbonate	
casos_clinicos_cardiologia247	MEDICATION	995	1008	resin calcium	
casos_clinicos_cardiologia486	MEDICATION	3158	3164	oxygen	
casos_clinicos_cardiologia406	MEDICATION	310	323	acenocoumarol	
casos_clinicos_cardiologia406	MEDICATION	655	668	acenocoumarol	
casos_clinicos_cardiologia406	MEDICATION	459	470	telmisartan	
casos_clinicos_cardiologia406	MEDICATION	482	492	bisoprolol	
casos_clinicos_cardiologia406	MEDICATION	505	515	eplerenone	
casos_clinicos_cardiologia406	MEDICATION	527	534	digoxin	
casos_clinicos_cardiologia406	MEDICATION	548	568	acetylsalicylic acid	
casos_clinicos_cardiologia406	MEDICATION	581	591	omeprazole	
casos_clinicos_cardiologia406	MEDICATION	603	615	atorvastatin	
casos_clinicos_cardiologia406	MEDICATION	627	637	ranolazine	
casos_clinicos_cardiologia299	MEDICATION	222	252	lisinopril/hydrochlorothiazide	
casos_clinicos_cardiologia299	MEDICATION	385	394	metformin	
casos_clinicos_cardiologia299	MEDICATION	403	414	sitagliptin	
casos_clinicos_cardiologia299	MEDICATION	485	496	simvastatin	
casos_clinicos_cardiologia299	MEDICATION	646	657	binimetanib	
casos_clinicos_cardiologia299	MEDICATION	662	671	nivolumab	
casos_clinicos_cardiologia299	MEDICATION	5584	5593	nivolumab	
casos_clinicos_cardiologia299	MEDICATION	5734	5743	Nivolumab	
casos_clinicos_cardiologia299	MEDICATION	5839	5848	nivolumab	
casos_clinicos_cardiologia299	MEDICATION	4399	4417	methylprednisolone	
casos_clinicos_cardiologia241	MEDICATION	2921	2930	tirofiban	
casos_clinicos_cardiologia241	MEDICATION	5242	5251	tirofiban	
casos_clinicos_cardiologia202	MEDICATION	1319	1332	Acenocoumarol	
casos_clinicos_cardiologia202	MEDICATION	1357	1367	amiodarone	
casos_clinicos_cardiologia202	MEDICATION	1381	1390	enalapril	
casos_clinicos_cardiologia202	MEDICATION	1403	1412	diltiazem	
casos_clinicos_cardiologia202	MEDICATION	1424	1434	furosemide	
casos_clinicos_cardiologia202	MEDICATION	1447	1458	almotriptan	
casos_clinicos_cardiologia202	MEDICATION	1473	1485	escitalopram	
casos_clinicos_cardiologia202	MEDICATION	1498	1507	ketazolam	
casos_clinicos_cardiologia202	MEDICATION	1520	1530	omeprazole	
casos_clinicos_cardiologia202	MEDICATION	1543	1564	formoterol/budesonide	
casos_clinicos_cardiologia202	MEDICATION	1576	1586	folic acid	
casos_clinicos_cardiologia202	MEDICATION	1593	1602	lorazepam	
casos_clinicos_cardiologia202	MEDICATION	1614	1624	salbutamol	
casos_clinicos_cardiologia24	MEDICATION	1143	1153	cefotaxime	
casos_clinicos_cardiologia24	MEDICATION	1827	1837	penicillin	
casos_clinicos_cardiologia24	MEDICATION	1842	1852	gentamicin	
casos_clinicos_cardiologia129	MEDICATION	459	466	Sintrom	
casos_clinicos_cardiologia129	MEDICATION	468	476	pantecta	
casos_clinicos_cardiologia129	MEDICATION	478	498	rifampicin/isoniazid	
casos_clinicos_cardiologia129	MEDICATION	500	510	ethambutol	
casos_clinicos_cardiologia129	MEDICATION	517	529	atorvastatin	
casos_clinicos_cardiologia129	MEDICATION	531	539	coropres	
casos_clinicos_cardiologia129	MEDICATION	541	547	acovil	
casos_clinicos_cardiologia129	MEDICATION	549	559	omeprazole	
casos_clinicos_cardiologia129	MEDICATION	512	515	ASA	
casos_clinicos_cardiologia250	MEDICATION	861	894	paritaprevir/ritonavir/ombitasvir	
casos_clinicos_cardiologia250	MEDICATION	931	940	dasabuvir	
casos_clinicos_cardiologia250	MEDICATION	1157	1167	bortezomib	
casos_clinicos_cardiologia250	MEDICATION	1653	1663	bortezomib	
casos_clinicos_cardiologia250	MEDICATION	1169	1185	cyclophosphamide	
casos_clinicos_cardiologia250	MEDICATION	1634	1650	cyclophosphamide	
casos_clinicos_cardiologia250	MEDICATION	1190	1203	dexamethasone	
casos_clinicos_cardiologia250	MEDICATION	1666	1679	dexamethasone	
casos_clinicos_cardiologia250	MEDICATION	1429	1439	Omeprazole	
casos_clinicos_cardiologia250	MEDICATION	1453	1462	acyclovir	
casos_clinicos_cardiologia250	MEDICATION	1474	1484	hydroferol	
casos_clinicos_cardiologia250	MEDICATION	1496	1507	allopurinol	
casos_clinicos_cardiologia250	MEDICATION	1519	1540	formoterol/budesonide	
casos_clinicos_cardiologia250	MEDICATION	1560	1570	furosemide	
casos_clinicos_cardiologia250	MEDICATION	1624	1632	CyBorDex	
casos_clinicos_cardiologia250	MEDICATION	5138	5148	amiodarone	
casos_clinicos_cardiologia250	MEDICATION	5226	5236	amiodarone	
casos_clinicos_cardiologia250	MEDICATION	6019	6030	rivaroxaban	
casos_clinicos_cardiologia250	MEDICATION	5317	5319	SR	
casos_clinicos_cardiologia28	MEDICATION	354	367	acenocoumarol	
casos_clinicos_cardiologia28	MEDICATION	1200	1211	Ceftriaxone	
casos_clinicos_cardiologia28	MEDICATION	1312	1323	Ceftriaxone	
casos_clinicos_cardiologia28	MEDICATION	1352	1363	Cloxacillin	
casos_clinicos_cardiologia28	MEDICATION	1738	1748	Rifampicin	
casos_clinicos_cardiologia28	MEDICATION	3576	3586	Prednisone	
casos_clinicos_cardiologia28	MEDICATION	4997	5007	prednisone	
casos_clinicos_cardiologia28	MEDICATION	4940	4956	cyclophosphamide	
casos_clinicos_cardiologia366	MEDICATION	1489	1500	rivaroxaban	
casos_clinicos_cardiologia366	MEDICATION	1685	1696	rivaroxaban	
casos_clinicos_cardiologia366	MEDICATION	1593	1603	omeprazole	
casos_clinicos_cardiologia366	MEDICATION	1616	1627	pravastatin	
casos_clinicos_cardiologia366	MEDICATION	1640	1650	bisoprolol	
casos_clinicos_cardiologia366	MEDICATION	3843	3853	bisoprolol	
casos_clinicos_cardiologia366	MEDICATION	1663	1671	ramipril	
casos_clinicos_cardiologia366	MEDICATION	1740	1769	isosorbide mononitrate retard	
casos_clinicos_cardiologia366	MEDICATION	1782	1795	nitroglycerin	
casos_clinicos_cardiologia600	MEDICATION	434	442	ramipril	
casos_clinicos_cardiologia600	MEDICATION	464	474	omeprazole	
casos_clinicos_cardiologia600	MEDICATION	495	507	atorvastatin	
casos_clinicos_cardiologia600	MEDICATION	525	535	tamsulosin	
casos_clinicos_cardiologia600	MEDICATION	573	583	bisoprolol	
casos_clinicos_cardiologia600	MEDICATION	599	612	acenocoumarol	
casos_clinicos_cardiologia600	MEDICATION	7511	7524	Acenocoumarol	
casos_clinicos_cardiologia600	MEDICATION	628	639	calcifediol	
casos_clinicos_cardiologia600	MEDICATION	5639	5649	furosemide	
casos_clinicos_cardiologia600	MEDICATION	536	547	dutasteride	
casos_clinicos_cardiologia542	MEDICATION	647	657	furosemide	
casos_clinicos_cardiologia542	MEDICATION	659	669	bisoprolol	
casos_clinicos_cardiologia542	MEDICATION	671	679	ramipril	
casos_clinicos_cardiologia542	MEDICATION	681	691	tamsulosin	
casos_clinicos_cardiologia542	MEDICATION	693	704	allopurinol	
casos_clinicos_cardiologia542	MEDICATION	709	716	sintrom	
casos_clinicos_cardiologia542	MEDICATION	4231	4238	sintrom	
casos_clinicos_cardiologia542	MEDICATION	1044	1046	O2	
casos_clinicos_cardiologia542	MEDICATION	4267	4275	apixaban	
casos_clinicos_cardiologia548	MEDICATION	1077	1097	acetylsalicylic acid	
casos_clinicos_cardiologia548	MEDICATION	1099	1111	atorvastatin	
casos_clinicos_cardiologia548	MEDICATION	1113	1121	ramipril	
casos_clinicos_cardiologia548	MEDICATION	1123	1133	bisoprolol	
casos_clinicos_cardiologia548	MEDICATION	1135	1149	spironolactone	
casos_clinicos_cardiologia548	MEDICATION	1151	1161	tamsulosin	
casos_clinicos_cardiologia548	MEDICATION	4588	4598	dobutamine	
casos_clinicos_cardiologia548	MEDICATION	5106	5116	dobutamine	
casos_clinicos_cardiologia548	MEDICATION	4603	4616	noradrenaline	
casos_clinicos_cardiologia548	MEDICATION	5088	5101	noradrenaline	
casos_clinicos_cardiologia548	MEDICATION	1166	1177	dutasteride	
casos_clinicos_cardiologia480	MEDICATION	558	567	nevibolol	
casos_clinicos_cardiologia480	MEDICATION	574	584	torasemide	
casos_clinicos_cardiologia480	MEDICATION	594	614	amlodipine/valsartan	
casos_clinicos_cardiologia338	MEDICATION	537	544	aspirin	
casos_clinicos_cardiologia338	MEDICATION	546	556	torasemide	
casos_clinicos_cardiologia338	MEDICATION	561	573	pantoprazole	
casos_clinicos_cardiologia338	MEDICATION	4544	4552	atenolol	
casos_clinicos_cardiologia338	MEDICATION	5884	5900	cyclophosphamide	
casos_clinicos_cardiologia408	MEDICATION	965	985	acetylsalicylic acid	
casos_clinicos_cardiologia408	MEDICATION	7001	7009	atenolol	
casos_clinicos_cardiologia408	MEDICATION	7382	7393	methimazole	
casos_clinicos_cardiologia408	MEDICATION	987	990	ASA	
casos_clinicos_cardiologia493	MEDICATION	8050	8082	Aldosterone receptor antagonists	
casos_clinicos_cardiologia493	MEDICATION	316	323	insulin	
casos_clinicos_cardiologia493	MEDICATION	2170	2183	acenocoumarol	
casos_clinicos_cardiologia493	MEDICATION	2294	2302	apixaban	
casos_clinicos_cardiologia493	MEDICATION	3026	3034	apixaban	
casos_clinicos_cardiologia493	MEDICATION	2910	2924	spironolactone	
casos_clinicos_cardiologia493	MEDICATION	2941	2949	ramipril	
casos_clinicos_cardiologia493	MEDICATION	2967	2977	carvedilol	
casos_clinicos_cardiologia493	MEDICATION	2997	3008	allopurinol	
casos_clinicos_cardiologia493	MEDICATION	3050	3062	atorvastatin	
casos_clinicos_cardiologia493	MEDICATION	3079	3086	digoxin	
casos_clinicos_cardiologia493	MEDICATION	3105	3115	furosemide	
casos_clinicos_cardiologia493	MEDICATION	3140	3156	insulin glargine	
casos_clinicos_cardiologia493	MEDICATION	3173	3182	metformin	
casos_clinicos_cardiologia493	MEDICATION	3219	3229	omeprazole	
casos_clinicos_cardiologia493	MEDICATION	3246	3256	duloxetine	
casos_clinicos_cardiologia493	MEDICATION	3273	3282	trazodone	
casos_clinicos_cardiologia493	MEDICATION	3300	3310	alprazolam	
casos_clinicos_cardiologia493	MEDICATION	3953	3959	oxygen	
casos_clinicos_cardiologia493	MEDICATION	8787	8808	sacubitrilo-valsartan	
casos_clinicos_cardiologia493	MEDICATION	8031	8045	ACE inhibitors	
casos_clinicos_cardiologia493	MEDICATION	8838	8852	ACE inhibitors	
casos_clinicos_cardiologia410	MEDICATION	1940	1960	acetylsalicylic acid	
casos_clinicos_cardiologia410	MEDICATION	1977	1991	spironolactone	
casos_clinicos_cardiologia410	MEDICATION	2007	2017	bisoprolol	
casos_clinicos_cardiologia410	MEDICATION	2074	2084	furosemide	
casos_clinicos_cardiologia410	MEDICATION	2100	2110	omeprazole	
casos_clinicos_cardiologia410	MEDICATION	2126	2137	pravastatin	
casos_clinicos_cardiologia410	MEDICATION	2153	2175	empaglifozin/metformin	
casos_clinicos_cardiologia410	MEDICATION	4160	4172	levosimendan	
casos_clinicos_cardiologia410	MEDICATION	5223	5235	levosimendan	
casos_clinicos_cardiologia410	MEDICATION	2035	2055	sacubitril/valsartan	
casos_clinicos_cardiologia561	MEDICATION	259	267	warfarin	
casos_clinicos_cardiologia561	MEDICATION	1829	1837	warfarin	
casos_clinicos_cardiologia561	MEDICATION	285	298	acenocoumarol	
casos_clinicos_cardiologia561	MEDICATION	1723	1734	candesartan	
casos_clinicos_cardiologia561	MEDICATION	4042	4053	candesartan	
casos_clinicos_cardiologia561	MEDICATION	1749	1759	furosemide	
casos_clinicos_cardiologia561	MEDICATION	1775	1786	simvastatin	
casos_clinicos_cardiologia561	MEDICATION	1802	1812	bisoprolol	
casos_clinicos_cardiologia561	MEDICATION	1858	1867	metformin	
casos_clinicos_cardiologia561	MEDICATION	1888	1900	pantoprazole	
casos_clinicos_cardiologia561	MEDICATION	3633	3651	potassium chelator	
casos_clinicos_cardiologia561	MEDICATION	4678	4692	spironolactone	
casos_clinicos_cardiologia561	MEDICATION	5030	5044	spironolactone	
casos_clinicos_cardiologia561	MEDICATION	5337	5351	spironolactone	
casos_clinicos_cardiologia561	MEDICATION	3653	3662	patiromer	
casos_clinicos_cardiologia561	MEDICATION	4829	4838	patiromer	
casos_clinicos_cardiologia561	MEDICATION	5251	5260	patiromer	
casos_clinicos_cardiologia561	MEDICATION	4298	4318	sacubitril/valsartan	
casos_clinicos_cardiologia561	MEDICATION	4981	5001	sacubitril/valsartan	
casos_clinicos_cardiologia470	MEDICATION	241	250	enalapril	
casos_clinicos_cardiologia470	MEDICATION	302	311	metformin	
casos_clinicos_cardiologia470	MEDICATION	388	399	allopurinol	
casos_clinicos_cardiologia470	MEDICATION	931	941	adrenaline	
casos_clinicos_cardiologia470	MEDICATION	956	966	amiodarone	
casos_clinicos_cardiologia470	MEDICATION	3673	3684	ceftriaxone	
casos_clinicos_cardiologia470	MEDICATION	3687	3698	clindamycin	
casos_clinicos_cardiologia585	MEDICATION	166	188	ezetimibe/atorvastatin	
casos_clinicos_cardiologia585	MEDICATION	892	902	ticagrelor	
casos_clinicos_cardiologia585	MEDICATION	916	923	aspirin	
casos_clinicos_cardiologia585	MEDICATION	1160	1166	oxygen	
casos_clinicos_cardiologia585	MEDICATION	3857	3867	dobutamine	
casos_clinicos_cardiologia585	MEDICATION	3872	3885	noradrenaline	
